time,count
2026-05-14 16:28:35,1
2026-05-14 16:28:36,2
2026-05-14 16:28:36,2
2026-05-14 16:28:36,2
2026-05-14 16:28:36,1
2026-05-14 16:28:36,1
2026-05-14 16:28:37,2
2026-05-14 16:28:37,2
2026-05-14 16:28:37,2
2026-05-14 16:28:37,2
2026-05-14 16:28:37,2
2026-05-14 16:28:37,2
2026-05-14 16:28:38,2
2026-05-14 16:28:38,2
2026-05-14 16:28:38,2
2026-05-14 16:28:38,2
2026-05-14 16:28:38,2
2026-05-14 16:28:38,2
2026-05-14 16:28:39,2
2026-05-14 16:28:39,2
2026-05-14 16:28:39,2
2026-05-14 16:28:39,2
2026-05-14 16:28:39,2
2026-05-14 16:28:39,2
2026-05-14 16:28:40,2
2026-05-14 16:28:40,3
2026-05-14 16:28:40,1
2026-05-14 16:28:40,1
2026-05-14 16:28:40,1
2026-05-14 16:28:41,2
2026-05-14 16:28:41,1
2026-05-14 16:28:41,1
2026-05-14 16:28:42,2
2026-05-14 16:28:42,1
2026-05-14 16:28:42,1
2026-05-14 16:28:42,1
2026-05-14 16:28:43,1
2026-05-14 16:28:43,1
2026-05-14 16:28:43,1
2026-05-14 16:28:43,1
2026-05-14 16:28:43,1
2026-05-14 16:28:44,1
2026-05-14 16:28:44,1
2026-05-14 16:28:44,1
2026-05-14 16:28:44,2
2026-05-14 16:28:44,2
2026-05-14 16:28:45,1
2026-05-14 16:28:45,1
2026-05-14 16:28:45,1
2026-05-14 16:28:45,1
2026-05-14 16:28:45,1
2026-05-14 16:28:45,1
2026-05-14 16:28:46,1
2026-05-14 16:28:46,1
2026-05-14 16:28:46,1
2026-05-14 16:28:46,1
2026-05-14 16:28:46,1
2026-05-14 16:28:46,1
2026-05-14 16:28:47,1
2026-05-14 16:28:47,1
2026-05-14 16:28:47,1
2026-05-14 16:28:47,1
2026-05-14 16:28:47,1
2026-05-14 16:28:47,1
2026-05-14 16:28:48,1
2026-05-14 16:28:48,1
2026-05-14 16:28:48,1
2026-05-14 16:28:48,1
2026-05-14 16:28:48,1
2026-05-14 16:28:48,1
2026-05-14 16:28:49,1
2026-05-14 16:28:49,1
2026-05-14 16:28:49,1
2026-05-14 16:28:49,1
2026-05-14 16:28:49,1
2026-05-14 16:28:49,1
2026-05-14 16:28:50,1
2026-05-14 16:28:50,1
2026-05-14 16:28:50,1
2026-05-14 16:28:50,1
2026-05-14 16:28:50,1
2026-05-14 16:28:50,1
2026-05-14 16:28:51,1
2026-05-14 16:28:51,2
2026-05-14 16:28:51,1
2026-05-14 16:28:51,1
2026-05-14 16:28:51,1
2026-05-14 16:28:51,1
2026-05-14 16:28:52,1
2026-05-14 16:28:52,1
2026-05-14 16:28:52,1
2026-05-14 16:28:52,1
2026-05-14 16:28:52,1
2026-05-14 16:28:53,1
2026-05-14 16:28:53,1
2026-05-14 16:28:53,1
2026-05-14 16:28:55,3
2026-05-14 16:28:55,1
2026-05-14 16:28:55,3
2026-05-14 16:28:55,2
2026-05-14 16:28:56,2
2026-05-14 16:28:56,1
2026-05-14 16:28:56,2
2026-05-14 16:28:56,1
2026-05-14 16:28:56,1
2026-05-14 16:28:56,2
2026-05-14 16:28:57,2
2026-05-14 16:28:57,2
2026-05-14 16:28:57,2
2026-05-14 16:28:57,2
2026-05-14 16:28:57,3
2026-05-14 16:28:57,1
2026-05-14 16:28:58,3
2026-05-14 16:28:58,3
2026-05-14 16:28:58,3
2026-05-14 16:28:58,3
2026-05-14 16:28:59,3
2026-05-14 16:28:59,3
2026-05-14 16:28:59,3
2026-05-14 16:28:59,3
2026-05-14 16:29:00,3
2026-05-14 16:29:00,3
2026-05-14 16:29:00,3
2026-05-14 16:29:00,3
2026-05-14 16:29:00,3
2026-05-14 16:29:01,3
2026-05-14 16:29:01,3
2026-05-14 16:29:01,3
2026-05-14 16:29:01,3
2026-05-14 16:29:01,3
2026-05-14 16:29:02,3
2026-05-14 16:29:02,3
2026-05-14 16:29:02,3
2026-05-14 16:29:03,3
2026-05-14 16:29:03,3
2026-05-14 16:29:03,3
2026-05-14 16:29:03,3
2026-05-14 16:29:03,3
2026-05-14 16:29:04,3
2026-05-14 16:29:04,4
2026-05-14 16:29:04,3
2026-05-14 16:29:04,3
2026-05-14 16:29:05,3
2026-05-14 16:29:05,3
2026-05-14 16:29:05,3
2026-05-14 16:29:05,3
2026-05-14 16:29:05,1
2026-05-14 16:29:06,1
2026-05-14 16:29:06,1
2026-05-14 16:29:06,1
2026-05-14 16:29:06,1
2026-05-14 16:29:07,1
2026-05-14 16:29:07,1
2026-05-14 16:29:07,1
2026-05-14 16:29:07,1
2026-05-14 16:29:08,1
2026-05-14 16:29:08,1
2026-05-14 16:29:08,1
2026-05-14 16:29:08,1
2026-05-14 16:29:08,1
2026-05-14 16:29:09,1
2026-05-14 16:29:09,1
2026-05-14 16:29:09,1
2026-05-14 16:29:09,1
